Marca,Tipo,Tamaño,Cantidad,Precio,Precio por Un
Pampers,Premium care,p,36,1524.90,42.36
Huggies,Supreme care,p,50,3520.00,70.40
Pampers,Premium care,m,52,3233.10,62.17
Huggies,Protec plus,p,50,2786.00,55.72
Pampers,Premium care hipoalergénico,g,44,3306.55,75.15
Huggies,Supreme care,g,60,5215.00,86.92
Huggies,Supreme care,m,68,5215.00,76.69
Huggies,Active sec,g,60,4618.00,76.97
Pampers,Premium care,rn,56,3419.00,61.05
Huggies,Active sec,xg,52,4618.00,88.81
Pampers,Confort sec plus,m,52,4024.00,77.38
Pampers,Splashers para agua,m-g,11,1250.60,113.69
Huggies,Active sec,m,68,4587.00,67.46
Pampers,Pants xg,xg,34,2147.60,63.16
Estrella,Extra absorción,xxg,34,2081.60,61.22
Pampers,Premium care,xxg,34,3233.10,95.09
Huggies,Supreme care,rn,34,3214.00,94.53
Pampers,Confort sec plus,xxg,34,4024.00,118.35
Pampers,Confort sec plus,xg,36,4024.00,111.78
Pampers,Confort sec plus,g,44,4024.00,91.45
Pampers,Splashers para agua,g-xg,10,1250.60,125.06
Pampers,Splashers para agua,p-m,12,1250.60,104.22
Estrella,Preium caricia de,xxxg,30,2265.60,75.52
Huggies,Active sec,p,50,3382.00,67.64
Pampers,Pants g,g,40,2147.60,53.69
Pampers,Premium care,rn,36,2374.00,65.94
Pampers,Confort sec,rn,20,882.00,44.10
Pampers,Premium care,xg,36,3233.10,89.81
Huggies,Protect plus,xxxg,48,3956.00,82.42
Huggies,Proteccion plus,xxg,50,3956.00,79.12
Huggies,Proteccion plus,xg,52,3956.00,76.08
Huggies,Proteccion plus,g,60,3956.00,65.93
Huggies,Proteccion plus,m,68,3956.00,58.18
Pampers,Supersec m,m,48,1957.00,40.77
Estrella,Premium xg,xg,36,2081.60,57.82
Estrella,Premium p,p,30,1271.20,42.37
Huggies,Little swimmers,m,11,1646.00,149.64
Pampers,Pants grandecitos,xxg,18,3546.00,197.00
Huggies,Triple protección,xxg,50,2884.00,57.68
Pampers,Premium care max,g,30,2444.65,81.49
Pampers,Supersec xg,xg,32,1957.00,61.16
Pampers,Supersec g,g,40,1957.00,48.92
Pampers,Supersec plus,xxg,54,3430.00,63.52
Pampers,Supersec plus,xg,58,3430.00,59.14
Pampers,Confort sec plus,p,56,2853.00,50.95
Estrella,Premium m,m,9,525.60,58.40
Pampers,Pants m,m,48,2147.60,44.74
Estrella,Caricia de algodón,xxg,8,525.60,65.70
